身不爽不由人瞌睡朦胧,0,身不爽不由人瞌睡朦胧（呃）。
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,10125056.860022262,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,10142796.640030649,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,10149466.5001914,0.3
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,10156716.49753087,0.3
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,10164286.253001027,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,10185420.483102955,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,10196920.328363517,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,10272612.862876479,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,10314080.613034755,0.3
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,10314360.848608686,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,10326912.840445306,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,10333808.697857928,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,10352246.750326542,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,10362801.347482637,0.1
sdxp-WoHeNi-SiLangTanMu.xml_12,无有令箭怎过关。,10372816.786425555,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,10373737.982372869,0.2
lseh-YiLunMing-ZhuoFangCao-2.xml_1,陈宫心中乱如麻。,10396043.342041384,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,10397004.3557306,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,10402610.573240148,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,10424722.508343536,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,10424722.508343536,0.2
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,10427094.847913643,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,10427094.847913643,0.2
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,10447784.152541824,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,10450981.184347473,0.1
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,10460358.942149948,0.1
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,10472503.877276946,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,10497171.365198825,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,10497171.365198825,0.3
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,10504784.25642896,0.1
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,10537285.559900377,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,10585544.658598768,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_9,不能（呃）哎见。,10595119.951812267,0.2
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,10605513.292234216,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,10624490.607604345,0.1
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,10685226.082122274,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,10728316.104000716,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,10731216.04885677,0.2
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,10757258.565889822,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,10760767.911025679,0.2
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,10761983.36858062,0.0
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,10791322.459347472,0.1
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,10837836.884319501,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,10840915.582860447,0.0
sdxp-SuLongWei-WuJiaPo.xml_10,管保大嫂就断与咱。,10859195.750339393,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,10883052.334406761,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,10902169.59744389,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,10909287.530269636,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,10927197.922051396,0.2
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,10974760.920421313,0.0
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,10988998.775493918,0.2
lseh-YiLunMing-ZhuoFangCao-2.xml_11,自有那神灵儿天地鉴察。,11024806.509024078,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,11036099.76817225,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,11048100.381455854,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,11056977.05164095,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_11,自有那神灵（啊）天地鉴察。,11062783.501051337,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,11065805.666995127,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,11091119.410637256,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,11096635.156819753,0.2
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,11140053.087151764,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,11142748.049870215,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,11151110.864722373,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,11164212.471650718,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,11200135.430879839,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,11210372.785382858,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,11254842.830518411,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,11274751.536295414,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,11310122.647168338,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,11323664.299023783,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,11331330.439739332,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,11342883.022718437,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,11346346.609148812,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,11436774.143855084,0.2
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,11441556.47027138,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,11452720.204202631,0.2
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,11453061.41943324,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,11453061.41943324,0.0
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,11554643.001493338,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,11556027.432886668,0.2
lsxp-DaHeYi-SiLangTanMu.xml_2,杨家将令鬼神惊。,11603594.51976337,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,11610835.987151483,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,11622245.756805042,0.2
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,11639975.560584534,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,11651514.563211635,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,11678537.823861111,0.2
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,11728560.128158405,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,11737213.61913062,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,11737213.61913062,0.0
lseh-ZenNengGou-BaDaChui.xml_3,倒不如上公安观看古今。,11741629.54767719,0.2
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,11746205.754517818,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,11756385.313696835,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,11778326.59065969,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,11788968.960089669,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,11818232.550234064,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,11844801.616510775,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,11870235.733849334,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,11871434.909945197,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,11915743.682370353,0.1
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,11923436.734925453,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_1,陈宫心（呐）中乱如麻，,11926512.45927449,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,11954633.476521699,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,12025482.330188043,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,12048397.24069051,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,12059549.61700929,0.2
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,12099227.438915668,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_3,却原（呐）来贼是个无（哇）义（呀）的冤家！,12146908.296176407,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_3,却愿（呐）来贼是个无（哇）义（呀）的冤家！,12146908.296176407,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,12182841.901495736,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,12189097.713380797,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,12195173.621640068,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,12209965.750907298,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,12216634.917848624,0.2
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,12232810.210441222,0.2
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,12241623.704131722,0.2
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,12245828.670088697,0.2
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,12263338.976515733,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,12276713.225957617,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_2,我的（呀）父谏奏反把命（哪）送，,12280692.686474292,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,12286329.190989912,0.0
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,12302220.62911134,0.1
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,12310738.249983244,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,12318252.731121399,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,12337297.994332492,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,12340879.485820683,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,12341074.027940512,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,12341710.607558783,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,12364711.159113057,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_4,怕将（呃）来老天爷无（哇）有果报，,12371989.311177889,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,12408069.071580775,0.2
lseh-TanXiongDi-SangYuanJiZi.xml_3,见坟台不见人刀割我心。,12409127.660641009,0.3
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,12422769.510115061,0.2
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,12435683.066044241,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,12448938.77404761,0.1
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,12465982.568088211,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_2,为（呀）儿（啼）女我也曾朝山拜庙，,12467026.849116731,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,12479174.96354871,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_19,安眠好似并底之蛙，,12500878.194625549,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,12502284.135391504,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,12508333.418390395,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,12508731.433379503,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,12516591.745096074,0.2
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,12526143.750827786,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,12536263.377944902,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,12541493.370376024,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,12610806.056791395,0.0
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,12616253.521519922,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,12630464.171182182,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,12633806.142007392,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,12642329.499738708,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,12650307.370363658,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_17,汉室后来贼是个惹祸的根芽。,12671809.92678574,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,12709850.414856466,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,12711026.554007158,0.3
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,12734705.71486005,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,12745026.256475938,0.2
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,12745072.171948193,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,12757566.688533884,0.1
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,12772298.383939018,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,12778688.20733275,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,12793707.567234593,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,12795274.90633375,0.0
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,12795537.97391924,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,12830070.27106794,0.2
sdxp-WoHeNi-SiLangTanMu.xml_16,快马加鞭我一夜还。,12830253.345880684,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,12834417.356207674,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,12851223.224437531,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,12875355.907938646,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,12883860.350744603,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,12956023.436996602,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,12963039.226750055,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,12966515.697672745,0.2
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,13030700.783026733,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,13051911.81939036,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,13095973.023098897,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,13137138.726073606,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,13145257.179224623,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,13158078.744155124,0.2
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,13161992.889642723,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,13162931.884667747,0.1
sdxp-WoHeNi-SiLangTanMu.xml_14,见母一面即刻还。,13177524.919619327,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,13188880.263776865,0.1
lsxp-HenPingWang-WenZhaoGuan.xml_1,父纳子（呃）妻礼难容，,13226720.602425145,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,13235250.156812448,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,13260903.047376577,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,13268420.061799804,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,13276759.121514061,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,13290782.122041455,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,13297880.979251375,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,13310588.667833585,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,13313867.526612995,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,13321700.334442075,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,13372536.29105861,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,13376246.086990023,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,13404804.016271088,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,13449278.684927737,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,13449481.313592356,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,13466411.12130845,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,13470579.083751407,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,13527078.033422098,0.2
lseh-YiLunMing-ZhuoFangSuDian.xml_1,陈宫心（呐）中乱如麻，,13527969.287889488,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,13529643.774194356,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,13536861.616365915,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,13552795.14850057,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,13569445.441391632,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,13590728.347656231,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,13614956.031245088,0.2
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,13621587.487746181,0.0
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,13656979.709254652,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,13668184.30369738,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,13684877.886105007,0.3
lseh-ZiNaRi-HongYangDong.xml_1,三更时梦（呃）见（呐）了年迈爹尊（呐）。,13694470.177549317,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,13726221.064482331,0.2
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,13743613.31120465,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,13751196.738304118,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,13786307.304221554,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,13799536.264167283,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,13802676.052960742,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,13837497.771817569,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,13865653.308025893,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,13873224.6124421,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,13873560.577221492,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,13885765.279131725,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,13894815.629526243,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,13949211.521637173,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,13950184.846872848,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,13971234.52472935,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,13997721.522230662,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,13998916.52026285,0.0
