年老得配女娇娃,11,年老得配女娇娃。
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,6336099.15207868,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,6373707.773444565,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,6377053.77018518,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6457057.434267011,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,7275025.058480156,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7276073.816824661,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,7301594.437140191,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,7401274.352553995,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,7497922.960064409,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,7511676.752971711,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,7674486.509295332,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,7715908.731155565,1.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,7777177.106846246,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7794885.459685779,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,7891812.444890268,0.0
lsxp-WoBenShi-KongChengJi-2.xml_7,我诸葛怎比得前辈（呃）的先（呃）生。,7903118.3427626835,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,7912531.532889652,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,7912531.532889652,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7946752.838471298,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,7946918.747978174,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,7954376.477729424,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,7975620.387945399,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,8082741.852966753,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,8084837.177592691,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,8176162.196009004,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,8210920.352627316,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,8212370.910549589,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8219973.624830994,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,8251416.353031506,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,8302806.002003823,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,8395270.327601358,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,8408154.922039475,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,8412189.28194497,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,8414546.385422321,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8439894.029517436,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,8448524.2642098,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,8474342.691795176,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,8479204.569432985,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,8494689.12699192,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,8521623.637033226,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,8536545.410925446,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,8571570.277096795,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,8614647.354916686,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,8661948.87645314,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,8756818.229529526,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,8809270.884569228,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,8809270.884569228,0.14285714285714285
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,8829681.955992505,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,8897706.835262982,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,8950266.562744826,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,9001381.597457461,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9024848.88480207,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,9044513.285430543,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,9045894.803642226,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,9054800.85289424,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,9084160.10053089,0.14285714285714285
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,9089503.924922692,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,9098050.347349342,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_5,这才是花随水水不（哇）能恋（呐）花。,9126968.396130383,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,9131996.086008647,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,9141769.312124861,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,9142874.79031216,0.0
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,9162422.087190898,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,9173163.300661083,0.0
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,9173689.780992504,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,9207137.613268962,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,9221645.839700738,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,9224369.848733678,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_5,这才是花随水水不（哇）能恋（呐）花。,9225111.799943563,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,9228005.190235624,0.14285714285714285
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,9254742.167099778,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,9269131.195563126,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,9295167.178179948,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,9311889.691865135,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,9313711.996415112,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,9320013.967668844,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,9350010.84937635,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,9361971.807753615,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,9388402.775443146,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,9396022.003635652,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,9406162.13903259,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,9429326.653255016,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,9437189.270001682,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,9438964.262362413,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,9446150.763177037,0.14285714285714285
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,9461061.669969833,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,9461413.652204273,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,9472089.875461118,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,9505175.13397209,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,9520621.686329994,0.0
lseh-XiRiLi-BaoLianDeng.xml_5,那伯夷尊父命也不能应承，,9528476.08288119,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,9530928.860993098,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,9579684.703570833,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,9640806.666181387,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,9651200.299075644,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,9680641.106441336,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,9700856.481497763,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,9709665.773834446,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,9713360.6061782,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,9717190.737901002,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,9744727.717304422,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,9745039.104157904,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,9759222.000502003,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,9771755.781400295,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,9797657.578936946,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,9824229.657576792,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,9824383.479958322,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,9856514.548498413,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,9863539.98724724,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,9893576.839315481,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,9906450.581454452,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,9924642.455289925,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,9925792.126314681,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,9954935.554739708,0.14285714285714285
lsxp-WoBenShi-KongChengJi-1.xml_7,俺诸（喏）葛怎比得前辈呀的先哪生。,9997852.810844291,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,10017451.187311606,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,10037347.358611258,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,10043105.644629303,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,10058755.40428178,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,10062776.94887358,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,10108111.227062246,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,10124965.464443643,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,10134414.288469652,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,10143815.855276447,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,10204478.7696723,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,10242492.362184385,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,10268320.802660044,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,10273711.554520225,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,10276000.319842547,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,10289053.921272548,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,10293790.213625602,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,10296108.702697054,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,10319639.241164701,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,10324473.531604504,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,10343644.716913968,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,10362344.665463155,0.0
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,10376907.128354298,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,10406984.4228165,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,10412262.703056285,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,10417829.74916135,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,10430435.631868845,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,10430970.853421466,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,10432169.69699128,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,10447765.092761345,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,10470791.046858158,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,10475224.740953939,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,10481511.088979363,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,10517565.827286387,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,10520526.779840736,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,10522190.42027008,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,10529736.920442233,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,10537068.230219813,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,10551489.875217104,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,10561044.462145215,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,10567507.4653579,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,10582626.415161302,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,10636400.680533338,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,10638730.722998498,0.14285714285714285
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,10681603.70949037,0.0
lseh-ZenNengGou-BaDaChui.xml_3,倒不如上公安观看古今。,10691289.609614486,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,10703099.194704488,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,10711801.441560071,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,10782270.213919453,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,10786676.961254269,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,10853846.255656157,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,10874677.379012272,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,10891551.193124374,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,10896567.513847385,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,10911489.947929118,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,10921169.246111646,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,10921396.417019801,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,10924511.38435289,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,10927289.091992136,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,10944110.337202683,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,10945937.88252954,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,10946302.521166451,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,10946302.521166451,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,10962246.905041425,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,10967919.977802183,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,10986260.009775287,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,10998478.27732572,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,11000978.974601213,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,11008290.144862868,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,11008879.999080153,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,11017683.432874102,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,11024268.624320656,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,11025120.665461035,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_3,为儿（喏）女我也曾补路修桥。,11032629.428049037,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,11055097.67581737,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,11063428.247914627,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,11081291.52667921,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,11082009.361679021,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,11102756.916815396,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,11103327.756570155,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,11114187.686452609,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,11131442.421280595,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,11132741.282351324,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,11145406.069443088,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,11150234.268268947,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,11163890.645986188,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,11164440.875140315,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,11184266.975058302,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,11210979.836231343,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,11226120.82920647,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,11246105.145500945,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,11248942.131622275,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,11257898.051580058,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,11259179.41246786,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,11273010.148686469,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_9,不能（呃）哎见。,11277485.171720099,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,11307202.804847559,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,11320335.023278277,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,11331901.233889973,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,11368680.841471765,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,11389890.030547133,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,11392003.795500709,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,11393450.39773797,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,11403859.870668659,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,11403942.183569457,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,11423583.462477343,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,11429796.554629996,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,11433868.303727152,0.14285714285714285
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,11435307.937462596,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_1,陈宫心（呐）中乱如麻，,11475627.954278603,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,11482217.32475036,0.2857142857142857
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,11490441.222522179,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,11514257.855736496,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,11516685.924069425,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,11521610.197993845,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,11534508.197897773,0.0
