诸葛亮怎比得前辈的先生,22,俺诸（喏）葛怎比得前辈呀的先哪生。
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,11106766.74579879,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,11112288.078885153,0.09090909090909091
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,11130611.550184548,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,11144750.442214528,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,11156745.641016932,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,11162767.430455744,0.09090909090909091
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,11163708.506613057,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,11196404.695118437,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,11197326.254586453,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,11199054.552642878,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,11204618.632450018,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,11212048.719336784,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,11230416.644847812,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,11267488.308754614,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,11318428.76599126,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,11320013.395988522,0.09090909090909091
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,11338398.647616701,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,11353780.90853925,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,11358415.37834411,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,11360802.575067436,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,11362943.979038857,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,11379562.445103956,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,11383127.959716383,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,11385130.930143356,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,11391734.651435228,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,11394364.675852867,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,11402703.756544791,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,11421242.651720032,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,11423303.473657846,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,11423303.473657846,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,11427107.842880022,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,11439229.802543715,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,11454613.1844485,0.09090909090909091
lsxp-ZheYiFeng-DingJunShan.xml_4,头通（呃）鼓紧战袍，,11475542.291304797,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,11484999.183257958,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,11493977.449069517,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,11499838.99185913,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,11500466.47832707,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,11511622.069307677,0.09090909090909091
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,11541439.100316908,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,11555791.975713775,0.09090909090909091
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,11568878.60428627,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,11582067.883146945,0.09090909090909091
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,11587560.979955668,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,11605927.348896466,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,11611801.046782868,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,11615302.279005587,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,11632029.29702476,0.2727272727272727
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,11655420.653494826,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,11664534.593440127,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,11680699.652980737,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,11701689.678740345,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,11706478.347133037,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,11713294.63042787,0.09090909090909091
lsxp-ZhangGongDao-ZhuangYuanPu.xml_3,为儿（喏）女我也曾补路修桥。,11730487.046190191,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,11731301.686634395,0.09090909090909091
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,11756137.606562871,0.09090909090909091
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,11776151.52964454,0.09090909090909091
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,11778369.4749579,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,11795441.955250489,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,11817720.914056337,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,11827840.039226945,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,11828314.716663975,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,11847864.999147942,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,11854820.513519093,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,11856068.975301381,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,11866259.44894295,0.09090909090909091
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,11871993.302619778,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,11881250.461369986,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,11898050.425608983,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_5,后进咸阳扶保在朝纲。,11908349.32094764,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,11937891.50876084,0.09090909090909091
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,11940125.203063698,0.2727272727272727
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,12004987.611361532,0.09090909090909091
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,12015494.235053651,0.09090909090909091
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,12020280.003958791,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,12025851.691887297,0.09090909090909091
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,12026973.520261629,0.09090909090909091
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,12030504.078133818,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,12054702.722126937,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,12062554.934325105,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,12067708.273791019,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,12070293.261995459,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,12074746.100777062,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,12085110.787934048,0.09090909090909091
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,12088945.731861265,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,12090893.602123436,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,12103414.446116826,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,12115016.494796766,0.09090909090909091
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,12123638.07875454,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,12127724.861241486,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,12133497.061895367,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,12147067.350383474,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,12147463.967127208,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,12191404.82285968,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,12201686.087067643,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,12204482.360024994,0.09090909090909091
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,12208546.052430376,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,12212338.261256319,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,12239041.58853895,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,12252112.390745474,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,12252112.390745474,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,12263639.272282898,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,12268289.544147998,0.18181818181818182
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,12288203.520577785,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,12294606.10546083,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,12314817.711792601,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,12326856.208274025,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,12328401.026062252,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,12339155.539267186,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,12341272.760117278,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,12343269.27974781,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,12350992.030915149,0.09090909090909091
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,12354777.87429308,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,12358131.85132254,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,12366428.534408627,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,12394356.658379683,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,12398475.540235113,0.09090909090909091
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,12404334.42322533,0.09090909090909091
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,12415504.65497642,0.09090909090909091
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,12420841.694855984,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,12420841.694855984,0.0
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,12429913.598440543,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,12430918.97152327,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,12432695.66669316,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,12451169.29514722,0.09090909090909091
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,12466269.039464153,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,12466985.280950723,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,12467501.962129865,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,12472014.698742367,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,12478145.575869985,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,12481515.924358953,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,12488919.566952253,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,12509833.002774278,0.0
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,12533637.295995489,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,12533944.688283417,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,12549532.266671112,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,12573485.802067777,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,12580837.265403438,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,12604815.903006947,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,12609336.74317304,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,12616009.95001459,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,12620046.936629811,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,12628590.2914007,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,12635218.125009824,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,12635218.125009824,0.09090909090909091
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,12638356.842801044,0.09090909090909091
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,12654291.835321374,0.09090909090909091
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,12693394.01858107,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,12700310.535834152,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,12704099.170798082,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,12712129.625612142,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,12740168.1209708,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,12740168.1209708,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,12740698.295528326,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,12760651.259035194,0.09090909090909091
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,12766496.024413338,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,12795464.366797687,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,12796280.349046117,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,12799203.681360034,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,12814052.679120969,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,12820673.282046417,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,12836003.002464559,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,12837848.405618805,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,12838214.65963235,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,12841305.538952677,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,12845225.15011825,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,12849257.48735335,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,12864393.142286148,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,12901069.075530987,0.09090909090909091
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,12938209.647518393,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,12964126.757739374,0.09090909090909091
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,12964440.608444083,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,12985538.869569458,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,13003333.286268907,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,13020665.515627429,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,13034219.693393162,0.09090909090909091
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,13041850.440097788,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,13101083.778046172,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,13103719.153386066,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,13128403.248196848,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,13129932.74525233,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,13149294.656259306,0.09090909090909091
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,13153007.826045524,0.09090909090909091
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,13165011.106417265,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,13187075.504400665,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,13208701.526071256,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,13220241.45773072,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,13223834.259264776,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,13227506.152311975,0.09090909090909091
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,13227862.301709108,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,13231735.695034811,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,13232356.78536398,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,13233804.796515176,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,13241767.618233418,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,13247043.274055025,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,13251234.727834357,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,13261046.861027766,0.09090909090909091
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,13281572.303705692,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,13281572.303705692,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,13296841.072281172,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,13308694.954317544,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,13349961.693318548,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,13354944.942725956,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,13370197.52396311,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,13378757.81225653,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,13382627.25114092,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,13388522.338574104,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,13407233.443457289,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,13427766.311881244,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,13429129.310099045,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,13442808.715245692,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,13442808.715245692,0.09090909090909091
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,13446595.382875277,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,13458101.510119244,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,13458438.67981278,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,13497699.26273371,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,13508057.721103314,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,13510347.28434217,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,13510510.42188369,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,13523293.59593019,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,13543983.53843151,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,13592973.27035986,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,13593381.352403125,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,13597705.167350434,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,13604500.534653952,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,13634483.155380132,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,13655566.465806948,0.18181818181818182
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,13660927.916526575,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,13667807.706766685,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,13673974.976702383,0.0
