必有隐情在心潮,56,必有隐情在心潮。
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,1682608.9080157233,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,1855548.6784827714,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,1996033.5151051923,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,2131996.2520436672,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,2136946.1526393509,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,2197696.8863799623,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,2197696.8863799623,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,2207514.2334179389,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,2250000.8183580707,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,2376378.8830631529,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,2379679.4460592284,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,2580472.8760838094,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,2619660.4595407145,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,2768913.1327446084,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,2948514.2928409353,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,2955218.9579431484,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,2958267.2454447886,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,3088631.2129106438,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,3137033.7145059607,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3164120.5115754199,0.2857142857142857
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,3178893.4008265198,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,3193567.3780910918,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,3443104.7930361903,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,3449019.0902699218,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,3505892.0120753408,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,3531032.1938436944,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,3531037.1626951913,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,3552864.4699155004,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,3553833.0497135031,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,3562511.6192785013,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,3601543.1334105683,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,3617188.0118431919,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,3676837.0358711621,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,3753359.0589079065,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3801265.3798090052,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,3825457.3087122743,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,3933355.8480130113,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,3970713.9336983091,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,4001059.0248176376,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4005666.6155940532,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,4039885.357171772,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,4082578.5370594524,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,4091091.7189317867,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,4095710.4299707445,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,4107194.9244241365,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4118103.4448486315,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,4185422.2023352967,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,4208525.867051255,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,4227399.9129675487,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,4230925.2950487798,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,4237132.8287961716,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,4243046.960368461,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,4281029.4909515511,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,4284083.4834039984,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4322591.10314551,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,4336124.8712419989,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,4338518.7384058721,1.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,4342938.3354037367,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,4353373.7122870432,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,4363340.2663111547,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,4397415.2872684766,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,4405595.2810598575,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,4410082.2119267676,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,4429644.0505636809,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,4451977.3765449841,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,4462291.7102703126,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,4483770.4557545511,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,4500217.7333563725,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,4551139.784288845,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,4551747.2389459051,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,4564283.7697641365,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,4568468.2128748866,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,4570561.5459230468,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,4590406.9582376266,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,4619513.4104091469,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,4621178.1565823834,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,4638778.9408976762,0.14285714285714285
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,4646618.7092040377,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,4650759.2797987284,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,4668909.8649024041,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,4697915.0934179788,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,4745195.2170903068,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,4747493.2684163013,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,4757461.2136861356,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,4768765.2848854689,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,4782254.558239378,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,4805752.4034595536,0.2857142857142857
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,4827781.3076785058,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,4843789.1643504053,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,4848016.1948938631,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,4851514.2681867089,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,4852025.367486665,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,4872416.3772946512,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,4873800.4852461126,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,4908010.5186019046,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,4912642.0462313248,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,4929578.5584237613,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,4941560.2080463488,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,4941906.0900079627,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,4958097.2985347426,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,4969153.1096611712,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,4971726.4741978189,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,4998584.1159864319,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,4999979.8674352188,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,5008801.4772981396,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,5013777.3722396502,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5035907.2186987102,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,5091500.1602092637,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5149903.0306269564,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,5156941.7579797637,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,5203868.6762989014,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,5209190.395872673,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,5209190.395872673,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,5209679.0421474129,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,5217577.2971894005,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5219939.3676798334,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5220948.5235395711,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,5258748.7211483847,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,5266128.2296509957,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,5292507.7348370105,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,5297467.0789304767,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5298278.2639858322,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5299022.488751634,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,5305170.0598925538,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,5308355.4461224638,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,5380919.651019589,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,5387447.1410520701,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,5402733.1855355054,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,5420538.497570199,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,5425330.6646376131,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,5425330.6646376131,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,5434772.6989279203,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,5452973.6872612173,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5454111.2290545348,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,5454130.8468702054,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,5463754.2516950872,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5479346.716176765,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,5499531.1347432677,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,5507593.2040581387,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,5522859.5924485624,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,5559511.5696978346,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,5573500.725106366,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,5588081.5438732877,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5595311.3163277963,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,5614595.3025878882,0.14285714285714285
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,5624950.4117088625,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,5630466.9084524522,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,5659398.9797201557,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,5663205.7220842568,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,5674209.4743160503,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,5680380.1491913749,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,5713910.9661288159,0.14285714285714285
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,5720664.9599721869,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,5757520.1681378782,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,5766186.7783587454,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,5771616.5383399436,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,5776543.9414016027,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,5800893.7474206733,0.2857142857142857
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,5803676.7703383453,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,5805672.6919360543,0.14285714285714285
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,5827683.8823379893,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,5832445.8333218852,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,5843245.5791591518,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,5856807.8839658611,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,5875878.9536123434,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,5876981.7019193154,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,5893435.6614967417,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,5905852.4452238372,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,5923563.3279697541,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,5924430.0963949021,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,5924737.362285289,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,5967741.0670119626,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5973082.4588475134,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,5979838.0781712011,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,5982414.0320124142,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,5989138.5359834498,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6011729.4158150749,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6015494.3720295122,0.2857142857142857
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,6020124.5747364247,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6038931.3856494781,0.14285714285714285
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,6111063.8668912966,0.14285714285714285
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,6127521.9597737873,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6129495.3330131937,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,6134108.4360207422,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,6153868.6192368083,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,6160037.839095585,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,6169595.1627664436,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6172553.3785348842,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,6180926.9949750751,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,6181733.5103475749,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6201815.2397268796,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,6204791.8399120001,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,6208091.8461235669,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,6215252.0196924508,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,6220845.8446284216,0.14285714285714285
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,6222746.4932775898,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,6234436.9944056906,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,6258061.5596973924,0.14285714285714285
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,6269059.0189218353,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,6275000.8369901134,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,6277283.8015163448,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,6300361.7773821913,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6329925.1584216794,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,6347810.6861315081,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,6357516.6821245467,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,6363863.3487956412,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6368320.4360387996,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,6391283.7664677603,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,6393819.0204265537,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,6394871.5606097281,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,6400891.0808230042,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,6402532.558324514,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,6405146.197212779,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,6410033.6124290796,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,6433860.9509296706,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,6478245.45168145,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,6505405.1725476757,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,6518221.9062901065,0.14285714285714285
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,6527769.8082088847,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,6536965.0169999804,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,6549779.8093703492,0.14285714285714285
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,6564189.0124872634,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6577655.2139944313,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6623386.5994953988,0.14285714285714285
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,6636170.7197643807,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,6649765.1805205997,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,6659675.2729856865,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,6698142.8532096725,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,6703534.2941218279,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,6725109.9109635595,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,6731671.3840385368,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,6731950.9019105928,0.0
