好似我散天花纷落十方,0,好似我散天花就纷落十方；
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,10276339.906883685,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,10288090.785980515,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,10308122.554042678,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,10309060.880021958,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,10363216.152902266,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,10385751.822328186,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,10397514.548386609,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,10405131.522285527,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,10407126.663797576,0.1
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,10418663.699713713,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,10444880.460909203,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,10458921.836392649,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,10467596.723896991,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,10475902.542295504,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,10481726.175368432,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,10490569.492633026,0.1
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,10504361.846418424,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,10592884.497065751,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,10630771.707996964,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,10657084.591017732,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,10663946.48986212,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,10699685.012043752,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,10765514.368551351,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,10815451.001742113,0.1
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,10834363.120941604,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,10836103.5829018,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,10851850.028344335,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,10859450.580063278,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,10898764.173643615,0.1
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,10911958.226783548,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,10995321.223455124,0.1
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,11050073.985298654,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,11105026.985800002,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,11114206.055138374,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,11125491.733267084,0.1
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,11125756.251926724,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,11151846.079254301,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,11153649.304630933,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,11190511.349730801,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,11194009.500857849,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,11249108.624364575,0.1
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,11258727.043251986,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,11283392.345277315,0.1
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,11298343.493036568,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,11342191.187490715,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,11406137.461476248,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,11455409.056979276,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,11499564.04333958,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,11552861.582166925,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,11576071.339051478,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,11580919.664647223,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,11595065.885645431,0.1
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,11595065.885645431,0.1
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,11601762.336836196,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,11657061.093129018,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,11672533.230298268,0.1
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,11673190.466779234,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,11690431.307026215,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,11693732.243451023,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,11702445.182901518,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,11713105.649318941,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,11726790.24463794,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,11736732.204819905,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,11757399.04051502,0.1
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,11765807.672975732,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,11824202.083282676,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,11843312.115578365,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,11855987.759406157,0.2
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,11866259.100973612,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,11874983.617139151,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,12001232.767125433,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,12007982.729307389,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,12011230.83883388,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,12028399.056278545,0.2
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,12079033.144195532,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,12109058.746962635,0.1
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,12179508.564561432,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,12222715.722428914,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,12245710.088101024,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,12263160.384093931,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,12272435.194974421,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,12282112.708049057,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,12284756.052884178,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,12299811.603842085,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,12300573.682627304,0.1
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,12304482.65466623,0.1
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,12351899.030145671,0.1
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,12362419.820807023,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,12366043.723758899,0.1
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,12411854.103424363,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,12419548.683146844,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,12472309.18475154,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,12493233.455335995,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,12563765.058541598,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,12583599.40939544,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,12588309.207094301,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,12588920.377469698,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,12603854.555794179,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,12627701.510311786,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,12703021.230364095,0.1
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,12723624.772622157,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,12753918.987590946,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,12754501.272777302,0.1
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,12878795.064885639,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,12941548.482373105,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,12968815.991620237,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,12991417.870903766,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,13073662.65210239,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,13154603.996435866,0.1
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,13171823.937571654,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,13173755.32731778,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,13247997.912730157,0.1
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,13287296.416766502,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,13313351.614173541,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,13343966.394267261,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,13348651.861422569,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,13377630.222524634,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,13387218.980533578,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,13411632.788675779,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,13475277.806892648,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,13521512.985573379,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,13590841.173352573,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,13593381.472365122,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,13622951.873091107,0.1
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,13652650.106184198,0.1
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,13698000.224190228,0.1
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,13735114.079148671,0.1
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,13738113.315964049,0.1
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,13763265.431778867,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,13784619.996859087,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,13867267.693352824,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,13924771.194583578,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,13941171.471108738,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,14235165.784137117,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,14278081.032744829,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,14351446.794706991,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,14372441.053908894,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,14402412.85190122,0.1
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,14496276.895899432,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,14531287.847832231,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,14566145.978231328,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,14664364.976513274,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,14732972.077873062,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,15000271.645953201,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,15096963.758761568,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,15136391.516465887,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,15259037.510559497,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,15337271.710113792,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,15358550.536476623,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,15502575.628926614,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,15596611.689073453,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,15749862.204755623,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,15759519.269485751,0.1
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,16041702.29017389,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,16294694.669760479,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,16306331.215267401,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,16310471.929652099,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,16410314.426831389,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,16523208.205053329,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,16564091.531821009,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,16680472.591443872,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,16699305.938756445,0.1
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,16930342.971439511,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,17074396.533367153,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,17222476.39062665,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,17233819.81115574,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,17287715.659236733,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,17311697.615198206,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,17354608.461924236,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,17566247.974871635,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,17609048.307100069,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,17619327.391836807,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,17696208.807957083,0.1
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,17732596.744838499,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,17788318.552731324,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,17885552.82945402,0.1
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,18016710.381545134,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,18124423.389215354,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,18159497.358098395,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,18211806.652290218,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,18391570.877311867,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,18459775.212254241,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,18526970.212739252,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,18566988.34821729,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,18581771.102104794,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,18728389.346198104,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,18836605.992893148,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,18875619.086800847,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,19144828.466346327,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,19155007.609929878,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,19307635.448172502,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,19338957.856120851,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,19419441.842647694,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,19420513.065125052,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,19437267.472829096,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,19444023.577323832,0.1
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,19516539.403710254,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,19667836.626040384,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,19868233.518532664,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,19975884.347354598,0.1
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,20030832.461530894,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,20031414.798056845,0.1
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,20031414.798056845,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,20121430.384586673,0.1
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,20327046.075546358,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,20695067.07554042,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,20724243.951446589,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,20757045.282339882,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,20776116.487704013,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,20881665.959122624,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,20923862.226047687,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,20927716.923807018,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,21016442.6309526,0.1
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,21017336.256413203,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,21181805.913446411,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,21224367.458846278,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,21262682.607489027,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,21470354.878060929,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,21601947.865665041,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,21612024.11465672,0.1
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,21684604.747517336,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,21884118.91901049,0.1
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,22416892.261314638,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,22699178.386813123,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,22869955.303875681,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,23064565.682800844,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,23196165.026075523,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,23234705.202837553,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,23772221.361294866,0.1
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,23850006.475529648,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,23899660.82915001,0.1
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,24339479.460981317,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,24493832.649699006,0.1
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,24813502.166685566,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,25565128.16378713,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,25592950.22923908,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,26382458.231541805,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,26382458.231541805,0.1
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,27453559.940850895,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,27665321.055816755,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,27757348.829925533,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,27757348.829925533,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,27864014.339460108,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,28044213.901348989,0.1
