放大胆忍气吞声休害怕,0,放大胆忍气吞声休害怕，
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,1445792.1843490372,1.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,2910972.9866194036,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3787190.3999687033,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,4352865.7640814213,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,4498389.516971631,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,4832507.9562861221,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,4966209.4262547605,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,5169461.6421545632,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,5176395.9829316232,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,5235099.6904555392,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,5339727.2037170781,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,5463743.9177978234,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,5872076.4589856798,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,5887344.8760761991,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,6127864.9153483789,0.1
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,6205515.088655876,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,6217263.9727477934,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,6275900.1531919427,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6323218.4704924086,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,6340696.7747941203,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6465875.5639800541,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,6583581.0314789033,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,6698903.6346704513,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,6737014.5118387127,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,6861687.2430324154,0.1
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6998177.232915381,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,7046948.3060415797,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,7197194.2082384732,0.1
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,7233346.8844575966,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,7247004.1809518123,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,7396678.3382615903,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,7417500.8420610214,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7423238.7342446474,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7495525.3918228131,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,7593959.8947952492,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,7612466.317433252,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,7613280.999256691,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,7668725.5032663895,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7828880.3272526627,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7866593.7896777429,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7872855.926207385,0.1
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,8065606.9566284465,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8194559.1259826617,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8209726.7645823564,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,8246557.7923125392,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,8275837.5889854161,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,8385532.3716049828,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,8399867.7926177401,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,8452376.2350860536,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,8462664.0647351872,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8497157.8186929077,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,8570638.2491316218,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,8621334.8314849921,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,8626918.1420194954,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,8684638.5505860783,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,8711125.6843170281,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8741072.7373170014,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,8741580.1850658264,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,8801947.6563324519,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,8801947.6563324519,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,8850862.6288997289,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,8853215.311284719,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,8876848.0304502845,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,8944981.3862841446,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,9008439.4301260412,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,9014370.5666151475,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,9015703.8463271726,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,9029810.2478409279,0.1
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,9085322.0549217109,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,9096933.9995907061,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9110024.3362042774,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,9111017.5730298012,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,9164214.2383308113,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,9192980.911264848,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,9304208.3381317314,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9320693.2005133927,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,9339574.4916811213,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,9374536.8173419107,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,9416345.4491884541,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,9450278.3278916292,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,9462026.9808506705,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9554212.0868425164,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,9563308.3257926144,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,9990586.4525253605,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,10008906.220233634,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,10013393.816798368,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,10093082.522783486,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,10118297.984858658,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,10122534.704563899,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,10217118.202404728,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,10227584.598266874,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,10243789.361397106,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,10291768.819342988,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,10294238.769614462,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,10406453.777790217,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,10431096.615921821,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,10431965.891352754,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,10432057.800160034,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,10576030.786092712,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,10604656.667312425,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,10625722.626818048,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,10639185.168064419,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,10718399.916958846,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,10776964.830629358,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,10863363.919833772,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,10885086.392506812,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,10918848.640271688,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,10971415.031520208,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,11013409.237688262,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,11024851.91535693,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,11101984.822854143,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,11107960.280596619,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,11148509.732442364,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,11150737.928740548,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,11153073.999721102,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,11184847.149765069,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,11203342.351239327,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,11272010.281352418,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,11281453.697863081,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,11295732.17473142,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,11304121.371251313,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,11341608.940415781,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,11475698.340808338,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,11500928.353711022,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,11506627.129870992,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,11614599.313341899,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,11640031.590552354,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,11641004.706586214,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,11676648.055399531,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,11748685.606193183,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,11786088.053911403,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,11803102.796884738,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,11808835.558295321,0.1
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,11849834.050225658,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,11877201.802472785,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,11922451.56860251,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,11962154.866107306,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,11972590.472022144,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,12004917.094435457,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,12066439.54132898,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,12078237.134481359,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,12113916.238853956,0.1
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,12131401.237413947,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,12168292.115539938,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,12228384.747639872,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,12249669.55073642,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,12324328.53986734,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,12363469.63131921,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,12365978.237555429,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,12432129.737988649,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,12437634.860918337,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,12487900.894326437,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,12562290.125633944,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,12684016.143801063,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,12701316.527254213,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,12725757.629083237,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,12807899.154050544,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,12831847.919711558,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,12841065.750024585,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,12841457.563747879,0.1
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,12857964.756942173,0.1
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,12883683.922118349,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,12887569.207560137,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,12909704.826996235,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,12924344.905342415,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,12950893.303086251,0.1
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,12981167.865025146,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,12981307.76979428,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,12986794.455329403,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,13016285.534249283,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,13021998.637620052,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,13044664.405336676,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,13066572.39396207,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,13076774.469014905,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,13091496.656512467,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,13109556.947926225,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,13115936.186735936,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,13128377.749537669,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,13134581.620426284,0.1
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,13169740.502693506,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,13210988.558767714,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,13229332.536568321,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,13240746.101561297,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,13248921.890158696,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,13317754.822186641,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,13374297.726433957,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,13377246.651274882,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,13431143.54066309,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,13473480.278101422,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,13494358.730611729,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,13573542.007271608,0.1
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,13587168.672763603,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,13653055.948371002,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,13676838.592064891,0.1
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,13730828.287620904,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,13823753.370279621,0.1
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,13838060.709737949,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,13875392.518238058,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,14038080.204436729,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,14164311.524409963,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,14285951.332857493,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,14325414.754393812,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,14362893.140626024,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,14370679.283782111,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,14413323.368039986,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,14442861.93904558,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,14475534.918634273,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,14483298.871667892,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,14486486.523139525,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,14497596.673649509,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,14604367.070287647,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,14604367.070287647,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,14674692.284699643,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,14855162.615702789,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,14896113.830045778,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,14924653.147496779,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,14979176.139134079,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,15008423.459008042,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,15130267.12281383,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,15196970.773053942,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,15207908.614335053,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,15236438.60447753,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,15292650.52007794,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,15292916.814219911,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,15332137.454029813,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,15420043.354488065,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,15462942.857972357,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,15488633.685031658,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,15536628.378648233,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,15566775.645751433,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,15615446.774575088,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,15629437.39842849,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,15660544.516721964,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,15663080.607839759,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,15677760.776419584,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,15707968.867963683,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,15709646.085939562,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,15712007.857704371,0.1
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,15713482.824870298,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,15772575.209057845,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,15784398.486983797,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,15843320.294422384,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,15864705.968533615,0.1
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,15891681.356680935,0.0
